model,feature_set,split,MAE_log,RMSE_log,R2,RMSE_multiplicative_factor
HistGradientBoosting,A_v13A_current,test,0.7903944063236935,0.9867410045750857,0.41870892663584536,2.6824780278729667
HistGradientBoosting,A_v13A_current,train,0.6142381877054294,0.7607409397800452,0.6512970525094176,2.139861141502311
HistGradientBoosting,B_v13B_advanced,test,0.781814038117257,0.974465759919095,0.4330817087251445,2.6497512294680363
HistGradientBoosting,B_v13B_advanced,train,0.5801498412659358,0.7174397537840571,0.6898634753202345,2.0491800833095786
LightGBM,A_v13A_current,test,0.8023126157390027,1.0048811566431564,0.39713967011915163,2.7315826230866533
LightGBM,A_v13A_current,train,0.5512836881152905,0.686401073885199,0.7161179390424391,1.9865531944398005
LightGBM,B_v13B_advanced,test,0.7830020095080324,0.9803317560522412,0.42623580396880223,2.665340338057621
LightGBM,B_v13B_advanced,train,0.4979423133056096,0.6243719167528807,0.7651077095125264,1.867072911868557
RandomForest,A_v13A_current,test,0.8042580745463621,0.9888462050320419,0.4162259252424344,2.6881311302120166
RandomForest,A_v13A_current,train,0.7375574256279499,0.9032369153276346,0.5084299680370135,2.467577537475992
RandomForest,B_v13B_advanced,test,0.8034360014493426,0.9805673053107137,0.4259600484061925,2.665968230944776
RandomForest,B_v13B_advanced,train,0.7278268452229845,0.8914422450338987,0.5211842104154764,2.4386442387753045
XGBoost,A_v13A_current,test,0.7852398356030866,0.9721705576786511,0.4357491390404862,2.6436764885558057
XGBoost,A_v13A_current,train,0.6669491997158439,0.8231268485685282,0.5917599803920751,2.27761045782219
XGBoost,B_v13B_advanced,test,0.7777385022958286,0.9638858465371071,0.44532510686792925,2.621864868737142
XGBoost,B_v13B_advanced,train,0.64086832320258,0.7916709177452794,0.6223657089352922,2.2070811980624394
