player_name_fbref,player_id_tm,club,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank
Mario Martín,948273.0,Valladolid,Getafe Club de Fútbol S. A. D. Team Dubai,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,13.122363377404328,RandomForest,A_v13A_current,15.726129063648823,6757266.914302427,-2.603765686244495,2.603765686244495,0.6666666666666666,0.5108242904362132,0.4347828594471473,1,1,0.85,exact_age_validated,0.0,0.05,6757266.914302427,-2.603765686244495,2.603765686244495,6257266.914302427,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,8
Jesus Rodríguez,1190411.0,Real Betis,Calcio Como,LaLiga,2024-2025,MID,18.89664613278576,1111,700000.0,13.458835614025542,RandomForest,A_v13A_current,16.38304563775409,13033657.886489006,-2.9242100237285484,2.9242100237285484,0.4,0.33647166519362237,0.2987354985416992,1,1,0.85,exact_age_validated,0.16,0.0,13033657.886489006,-2.9242100237285484,2.9242100237285484,12333657.886489006,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,9
Lasse Rosenboom,512352.0,Holstein Kiel,Holstein Kiel,Bundesliga,2024-2025,MID,22.91854893908282,1734,500000.0,13.122363377404328,HistGradientBoosting,A_v13A_current,16.416541143677566,13477620.72348954,-3.294177766273238,3.294177766273238,0.0,0.0,-0.28329844427707607,0,1,1.0,exact_age_club_validated,0.1,0.1,13477620.72348954,-3.294177766273238,3.294177766273238,12977620.72348954,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,10
Adrian Blake,875581.0,Utrecht,Football Club Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,15.325763702392578,4527877.0,-2.20340032498825,2.20340032498825,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.58,0.38,4527876.856046716,-2.20340032498825,2.20340032498825,4027876.8560467158,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,59
Yan Diomandé,1390649.0,Leganés,RasenBallsport Leipzig,LaLiga,2024-2025,MID,18.472279260780287,545,600000.0,13.304684934198283,XGBoost,B_v13B_advanced,16.28742790222168,11845137.0,-2.982742968023397,2.982742968023397,,,0.0,0,1,0.85,exact_age_validated,0.33,0.17,11845136.29701381,-2.9827429680233966,2.9827429680233966,11245136.29701381,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,60
Andrés García,1063329.0,Aston Villa,Aston Villa Football Club,Premier League,2024-2025,DEF,21.683778234086244,318,900000.0,13.710150042306449,HistGradientBoosting,A_v13A_current,16.13051163990409,10124933.873306464,-2.4203615975976405,2.4203615975976405,0.125,0.11778289676765752,-0.19805486479308607,0,1,0.85,exact_age_validated,0.0,0.0,10124933.873306463,-2.4203615975976405,2.4203615975976405,9224933.873306463,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,11
Yassin Belkhdim,807688.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,15.459339141845703,5174944.5,-2.336975764441375,2.336975764441375,4.0,1.6094299124820992,1.4917402334230712,1,1,0.85,exact_age_validated,0.06,0.06,5174944.341777041,-2.336975764441375,2.336975764441375,4674944.341777041,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,61
Pau Navarro,1061336.0,Villarreal,Villarreal Club de Fútbol S.A.D.,LaLiga,2024-2025,DEF,19.64955509924709,916,500000.0,13.122363377404328,HistGradientBoosting,A_v13A_current,15.474358327286652,5253254.395032253,-2.351994949882325,2.351994949882325,1.5,0.9162877318846547,0.7769228195550556,1,1,0.85,exact_age_validated,0.0,0.0,5253254.395032244,-2.3519949498823234,2.3519949498823234,4753254.395032244,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,13
Adrian Blake,875581.0,Utrecht,Football Club Utrecht,Eredivisie,2024-2025,MID,19.42505133470226,468,500000.0,13.122363377404328,HistGradientBoosting,A_v13A_current,15.59729289132351,5940434.82382337,-2.4749295139191823,2.4749295139191823,0.0,0.0,-0.28329844427707607,0,1,0.85,exact_age_validated,0.58,0.38,5940434.82382337,-2.4749295139191823,2.4749295139191823,5440434.82382337,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,12
Andrés García,1063329.0,Aston Villa,Aston Villa Football Club,Premier League,2024-2025,DEF,21.683778234086244,318,900000.0,13.710150042306449,XGBoost,B_v13B_advanced,16.168819427490234,10520322.0,-2.4586693851837857,2.4586693851837857,0.125,0.11778289676765752,-0.19805486479308607,0,1,0.85,exact_age_validated,0.0,0.0,10520322.571461843,-2.4586693851837857,2.4586693851837857,9620322.571461843,5.0,2.2000722751818436,5.0,2.426072388659802,3.6711931494440835,True,False,58
