player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,5062282.850341886,2562282.8503418863,1.0249131401367546,0.8579897658941719,8.367004284942897,100.0,63.24611810117644,high_priority,1.0,exact_age_club_validated
Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,4166615.969013975,1666615.969013975,0.66664638760559,0.6536958007813889,8.367004284942897,100.0,60.438887881077136,high_priority,1.0,exact_age_club_validated
Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,4011802.580530064,1511802.5805300637,0.6047210322120254,0.6139692490375956,8.367004284942897,100.0,59.89300011325222,monitoring,1.0,exact_age_club_validated
Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,3516030.998823225,1016030.9988232256,0.4064123995292902,0.4755710298330862,8.367004284942897,100.0,57.99125199678515,monitoring,1.0,exact_age_club_validated
Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,3351004.590788996,851004.5907889958,0.3404018363155983,0.425133062056459,8.367004284942897,100.0,57.29817725370707,monitoring,1.0,exact_age_club_validated
Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,3301830.789643441,801830.7896434409,0.3207323158573763,0.4096226006345221,8.367004284942897,100.0,57.08504596513813,monitoring,1.0,exact_age_club_validated
Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,3209707.413986458,709707.413986458,0.2838829655945832,0.3799329536269086,8.367004284942897,100.0,56.67707662420413,monitoring,1.0,exact_age_club_validated
Enzo Tchato,Montpellier,Ligue 1,2024-2025,DEF,22.04791238877481,1899,2500000.0,2883435.4239919977,383435.4239919977,0.1533741695967991,0.2674611026605191,8.367004284942897,100.0,55.13158614058145,monitoring,1.0,exact_age_club_validated
Pape Matar Sarr,Tottenham Hotspur,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,19146591.110922,-25853408.889078,-0.5745201975350667,-0.7788357766544364,7.565371053184755,100.0,40.44540303514861,monitoring,1.0,exact_age_club_validated
Pape Matar Sarr,Tottenham Hotspur,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,18794257.617883675,-26205742.382116325,-0.5823498307136962,-0.7983229647748074,7.565371053184755,100.0,40.17762702245012,monitoring,1.0,exact_age_club_validated
Pape Matar Sarr,Tottenham Hotspur,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,18650091.64609939,-26349908.35390061,-0.5855535189755692,-0.8064021660479025,7.565371053184755,100.0,40.06660965609973,monitoring,1.0,exact_age_club_validated
Pape Matar Sarr,Tottenham Hotspur,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,18272364.389627576,-26727635.610372424,-0.5939474580082761,-0.8278702210458895,7.565371053184755,100.0,39.77161429133783,interesting,1.0,exact_age_club_validated
Pape Matar Sarr,Tottenham Hotspur,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,16899725.4051262,-28100274.5948738,-0.6244505465527511,-0.9098050576837172,7.565371053184755,100.0,38.64573693435555,interesting,1.0,exact_age_club_validated
Pape Matar Sarr,Tottenham Hotspur,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,16881461.31520158,-28118538.68479842,-0.6248564152177426,-0.9109395798417188,7.565371053184755,100.0,38.63014731629925,interesting,1.0,exact_age_club_validated
Pape Matar Sarr,Tottenham Hotspur,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,15056695.109666944,-29943304.890333056,-0.6654067753407346,-1.0309614588976124,7.565371053184755,100.0,36.98091090457851,interesting,1.0,exact_age_club_validated
Pape Matar Sarr,Tottenham Hotspur,Premier League,2024-2025,MID,22.25598904859685,1913,45000000.0,14978025.623950714,-30021974.376049288,-0.6671549861344286,-1.0364577979031135,7.565371053184755,100.0,36.90538498805114,interesting,1.0,exact_age_club_validated
Destiny Udogie,Tottenham Hotspur,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,13960759.699967796,-31039240.30003221,-0.6897608955562713,-1.1102521262075586,7.565371053184755,100.0,35.89136742579077,interesting,1.0,exact_age_club_validated
Destiny Udogie,Tottenham Hotspur,Premier League,2024-2025,DEF,22.050650239561943,1924,45000000.0,13882847.856263522,-31117152.14373648,-0.6914922698608106,-1.1161238945964769,7.565371053184755,100.0,35.81068268477214,interesting,1.0,exact_age_club_validated
