player_name_fbref,club,league,season,position_group,age,minutes_played,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,growth_score,confidence_score,opportunity_score,opportunity_tier,matching_confidence,matching_method
Roberto Férnandez,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,12465307.519300872,8965307.519300872,2.561516434085964,1.450432715929285,63.708139846706025,82.19166666666666,84.54689666972338,target_scouting,0.85,exact_age_validated
Roberto Férnandez,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,9766488.66132968,6266488.661329681,1.7904253318084804,1.1944350040592384,63.708139846706025,82.19166666666666,81.02919847124193,target_scouting,0.85,exact_age_validated
Roberto Férnandez,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,9619675.633901617,6119675.633901617,1.748478752543319,1.1785432873925157,63.708139846706025,82.19166666666666,80.81082830425511,target_scouting,0.85,exact_age_validated
Roberto Férnandez,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,9613675.794023246,6113675.794023246,1.7467645125780702,1.177888689635738,63.708139846706025,82.19166666666666,80.80183339046104,target_scouting,0.85,exact_age_validated
Roberto Férnandez,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,9149942.898357278,5649942.898357278,1.6142693995306507,1.126017099989533,63.708139846706025,82.19166666666666,80.08905906088637,target_scouting,0.85,exact_age_validated
Roberto Férnandez,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,8512008.21033106,5012008.21033106,1.4320023458088742,1.0501914204673208,63.708139846706025,82.19166666666666,79.0471284346106,high_priority,0.85,exact_age_validated
Joaquín Panichelli,CD Mirandés,Spanish Segunda División,2024-2025,ATT,22.02053388090349,3457,600000.0,2985711.5427228925,2385711.5427228925,3.976185904538154,1.8013675296363365,31.45952832899176,86.41666666666667,78.88014648935393,high_priority,0.85,exact_age_validated
Roberto Férnandez,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,8309309.554939048,4809309.554939048,1.3740884442682997,1.0249041659305982,63.708139846706025,82.19166666666666,78.69965294712058,high_priority,0.85,exact_age_validated
Roberto Férnandez,Espanyol,LaLiga,2024-2025,ATT,22.26694045174538,1497,3500000.0,7927662.845174063,4427662.845174063,1.2650465271925897,0.975572444128278,63.708139846706025,82.19166666666666,78.02177927534301,high_priority,0.85,exact_age_validated
Lucas Stassin,Saint-Étienne,Ligue 1,2024-2025,ATT,19.854893908282,1887,6000000.0,17663442.67172584,11663442.67172584,1.9439071119543063,1.250613163419735,30.657917624488604,93.33333333333331,74.17404638908135,high_priority,1.0,exact_age_club_validated
