variable,vif
availability_index,7.206704909472317
position_group_DEF,4.837844222022194
log_minutes_played,4.535884676870758
position_group_MID,3.6842797700258543
league_Ligue 1,3.1889047121576053
defensive_activity_index,2.9649039317607984
league_Eredivisie,2.9279503799953486
league_Serie A,2.8127971535510965
league_Championship,2.7891650106059673
league_Premier League,2.6985200387024775
goals_per90,2.6492563769991384
league_Bundesliga,2.5650425259637752
finishing_index_v2,2.521578425490162
league_LaLiga,2.3419906901797205
league_Liga Portugal,2.2705721245812613
league_Belgian Pro League,2.2113119908485612
league_Spanish Segunda División,2.0397562457430998
position_group_GK,1.6741258006171018
assists_per90,1.2290398716221465
age,1.0458825390213147
