scenario,budget,max_signings,players_selected,total_cost,budget_utilization,expected_upside,expected_roi,avg_portfolio_score,avg_optimization_score,avg_confidence,avg_risk_proxy,solver_status,elapsed_seconds,selected_players,error
conservative,10000000,4,4,7100000.0,0.71,46561023.39797139,6.55789061943259,95.26048197790183,89.56384176295641,88.75,11.25,Optimal,0.0921150001231581,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Filippo Terracciano,
conservative,20000000,5,5,17100000.0,0.855,72888138.7580082,4.26246425485428,94.29785073176565,86.47024732016544,88.0,12.0,Optimal,0.1002046000212431,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Filippo Terracciano | Williot Swedberg,
conservative,30000000,5,5,23100000.0,0.77,54564516.99873403,2.362100302975499,92.83293950390375,85.83665574633227,88.0,12.0,Optimal,0.0975345999468118,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Michael Kayode,
conservative,50000000,6,6,36100000.0,0.722,50647145.27077817,1.4029680130409465,92.05482732169368,84.13520695785765,87.5,12.5,Optimal,0.12198449997231364,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Ousmane Camara | Mateus Fernandes,
conservative,75000000,7,7,54100000.0,0.7213333333333334,63053966.70837962,1.1655077025578489,92.19429374710965,83.48592844445602,89.28571428571429,10.714285714285714,Optimal,0.10850719991140068,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Pablo | Filippo Terracciano | Elliot Anderson,
conservative,100000000,8,8,70100000.0,0.701,40466646.7787651,0.5772702821507146,91.03964222516069,82.21236197826093,88.75,11.25,Optimal,0.12586320005357265,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Pablo | Basar Onal | Filippo Terracciano | Xavi Simons,
balanced,10000000,4,4,7100000.0,0.71,46561023.39797139,6.55789061943259,95.26048197790183,87.28518567697826,88.75,11.25,Optimal,0.10477189999073744,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Filippo Terracciano,
balanced,20000000,5,5,14100000.0,0.705,55250700.42365262,3.9184893917484125,93.73145730433086,83.41939338213083,88.0,12.0,Optimal,0.10352869983762503,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Pablo | Arnau Martinez,
balanced,30000000,5,5,23100000.0,0.77,54564516.99873403,2.362100302975499,92.83293950390375,83.03814224330368,88.0,12.0,Optimal,0.1020363001152873,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Michael Kayode,
balanced,50000000,6,6,36100000.0,0.722,50647145.27077817,1.4029680130409465,92.05482732169368,80.96735881232323,87.5,12.5,Optimal,0.11636680015362799,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Ousmane Camara | Mateus Fernandes,
balanced,75000000,7,7,55600000.0,0.7413333333333333,49247055.478041954,0.8857384078784524,91.80333975717329,80.05276856656978,87.14285714285714,12.857142857142858,Optimal,0.11720849992707372,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Pablo | Ousmane Camara | Rayan Cherki,
balanced,100000000,8,8,70100000.0,0.701,40466646.7787651,0.5772702821507146,91.03964222516069,78.681449879501,88.75,11.25,Optimal,0.11399829993024468,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Pablo | Basar Onal | Filippo Terracciano | Xavi Simons,
aggressive,10000000,4,4,7100000.0,0.71,46561023.39797139,6.55789061943259,95.26048197790183,83.86720154801101,88.75,11.25,Optimal,0.08459069998934865,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Filippo Terracciano,
aggressive,20000000,5,5,14100000.0,0.705,55250700.42365262,3.9184893917484125,93.73145730433086,78.99993741547368,88.0,12.0,Optimal,0.11129179992713034,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Pablo | Arnau Martinez,
aggressive,30000000,5,5,23100000.0,0.77,54564516.99873403,2.362100302975499,92.83293950390375,78.84037198876081,88.0,12.0,Optimal,0.10584309999831021,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Michael Kayode,
aggressive,50000000,6,6,36100000.0,0.722,50647145.27077817,1.4029680130409465,92.05482732169368,76.2155865940216,87.5,12.5,Optimal,0.11511330003850162,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Ousmane Camara | Mateus Fernandes,
aggressive,75000000,7,7,55600000.0,0.7413333333333333,49247055.478041954,0.8857384078784524,91.80333975717329,75.01680948488256,87.14285714285714,12.857142857142858,Optimal,0.11975699989125133,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Pablo | Ousmane Camara | Rayan Cherki,
aggressive,100000000,8,8,70100000.0,0.701,40466646.7787651,0.5772702821507146,91.03964222516069,73.38508173136114,88.75,11.25,Optimal,0.11391930002719164,Ayoube Amaimouni Echghouyab | Pedro Santos | Pablo | Kareem Tunde | Pablo | Basar Onal | Filippo Terracciano | Xavi Simons,
