player_name_fbref,club,league,position,position_group,age,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,inefficiency_score_z,matching_confidence,expected_upside,expected_roi,inefficiency_score_norm,upside_score_norm,matching_confidence_norm,age_potential_score,portfolio_value_score,player_level_tier,player_level_rank,portfolio_cost,is_eligible_portfolio,season_context_club,season_context_league,season_context_age,season_context_market_value_eur,player_name_tm,player_name_norm,current_club,current_league,current_season,current_market_value_eur,current_valuation_date,current_age,current_competition_id,current_club_id,homonym_group_size,is_homonym_name,identity_resolution_status,snapshot_source,identity_match_method,current_snapshot_applied,identity_review_required,display_club,display_league,player_id_tm,player_name_tm_from_dss,player_name_norm_from_dss,player_name_tm_snapshot,player_name_norm_snapshot,current_club_snapshot,current_league_snapshot,current_season_snapshot,current_market_value_eur_snapshot,current_valuation_date_snapshot,current_age_snapshot,current_competition_id_snapshot,current_club_id_snapshot,homonym_group_size_snapshot,is_homonym_name_snapshot,identity_resolution_status_snapshot,snapshot_source_snapshot,player_name_tm_snapshot.1,player_name_norm_snapshot.1,current_club_snapshot.1,current_league_snapshot.1,current_season_snapshot.1,current_market_value_eur_snapshot.1,current_valuation_date_snapshot.1,current_age_snapshot.1,current_competition_id_snapshot.1,current_club_id_snapshot.1,homonym_group_size_snapshot.1,is_homonym_name_snapshot.1,identity_resolution_status_snapshot.1,snapshot_source_snapshot.1,player_name_tm_snapshot,player_name_norm_snapshot,current_club_snapshot,current_league_snapshot,current_season_snapshot,current_market_value_eur_snapshot,current_valuation_date_snapshot,current_age_snapshot,current_competition_id_snapshot,current_club_id_snapshot,homonym_group_size_snapshot,is_homonym_name_snapshot,identity_resolution_status_snapshot,snapshot_source_snapshot
Lasse Rosenboom,Holstein Kiel,Bundesliga,MID,MID,22.91854893908282,500000.0,13806870.427674456,13306870.427674456,5.0,2.426072388659802,1.0,13306870.427674456,26.61374085534891,100.0,85.88244661200102,100.0,99.67419575633129,96.43803122863338,Elite Target,5,500000.0,True,Holstein Kiel,Bundesliga,22.91854893908282,500000.0,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Holstein Kiel,Bundesliga,512352,Lasse Rosenboom,lasse rosenboom,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000,2025-12-16,23.91,L1,269.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation
Lasse Rosenboom,Holstein Kiel,Bundesliga,MID,MID,22.91854893908282,500000.0,13477620.72348954,12977620.72348954,5.0,2.426072388659802,1.0,12977620.72348954,25.95524144697908,100.0,85.71359690833124,100.0,99.67419575633129,96.39581880271594,Elite Target,5,500000.0,True,Holstein Kiel,Bundesliga,22.91854893908282,500000.0,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Holstein Kiel,Bundesliga,512352,Lasse Rosenboom,lasse rosenboom,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000,2025-12-16,23.91,L1,269.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation
Lasse Rosenboom,Holstein Kiel,Bundesliga,MID,MID,22.91854893908282,500000.0,11344948.912156696,10844948.912156696,5.0,2.426072388659802,1.0,10844948.912156696,21.68989782431339,100.0,84.61989508023116,100.0,99.67419575633129,96.12239334569092,Elite Target,5,500000.0,True,Holstein Kiel,Bundesliga,22.91854893908282,500000.0,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Holstein Kiel,Bundesliga,512352,Lasse Rosenboom,lasse rosenboom,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000,2025-12-16,23.91,L1,269.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation
Lasse Rosenboom,Holstein Kiel,Bundesliga,MID,MID,22.91854893908282,500000.0,10733404.740319012,10233404.740319012,5.0,2.426072388659802,1.0,10233404.740319012,20.466809480638023,100.0,84.30627580925443,100.0,99.67419575633129,96.04398852794674,Elite Target,5,500000.0,True,Holstein Kiel,Bundesliga,22.91854893908282,500000.0,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Holstein Kiel,Bundesliga,512352,Lasse Rosenboom,lasse rosenboom,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000,2025-12-16,23.91,L1,269.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation
Lasse Rosenboom,Holstein Kiel,Bundesliga,MID,MID,22.91854893908282,500000.0,10455928.25070382,9955928.25070382,5.0,2.426072388659802,1.0,9955928.25070382,19.91185650140764,100.0,84.16397705408063,100.0,99.67419575633129,96.00841383915328,Elite Target,5,500000.0,True,Holstein Kiel,Bundesliga,22.91854893908282,500000.0,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Holstein Kiel,Bundesliga,512352,Lasse Rosenboom,lasse rosenboom,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000,2025-12-16,23.91,L1,269.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation
Lasse Rosenboom,Holstein Kiel,Bundesliga,MID,MID,22.91854893908282,500000.0,10374385.529966148,9874385.529966148,5.0,2.426072388659802,1.0,9874385.529966148,19.74877105993229,100.0,84.1221593574875,100.0,99.67419575633129,95.997959415005,Elite Target,5,500000.0,True,Holstein Kiel,Bundesliga,22.91854893908282,500000.0,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Holstein Kiel,Bundesliga,512352,Lasse Rosenboom,lasse rosenboom,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000,2025-12-16,23.91,L1,269.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation
Lasse Rosenboom,Holstein Kiel,Bundesliga,MID,MID,22.91854893908282,500000.0,10101541.80031059,9601541.80031059,5.0,2.426072388659802,1.0,9601541.80031059,19.203083600621177,100.0,83.98223642873484,100.0,99.67419575633129,95.96297868281684,Elite Target,5,500000.0,True,Holstein Kiel,Bundesliga,22.91854893908282,500000.0,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Holstein Kiel,Bundesliga,512352,Lasse Rosenboom,lasse rosenboom,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000,2025-12-16,23.91,L1,269.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation
Lasse Rosenboom,Holstein Kiel,Bundesliga,MID,MID,22.91854893908282,500000.0,9621598.309251549,9121598.309251549,5.0,2.426072388659802,1.0,9121598.309251549,18.2431966185031,100.0,83.73610616585677,100.0,99.67419575633129,95.90144611709732,Elite Target,5,500000.0,True,Holstein Kiel,Bundesliga,22.91854893908282,500000.0,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Holstein Kiel,Bundesliga,512352,Lasse Rosenboom,lasse rosenboom,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000.0,2025-12-16,23.91,L1,269.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Lasse Rosenboom,lasse rosenboom,Holstein Kiel,Bundesliga,2025-2026,1200000,2025-12-16,23.91,L1,269.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation
Jesus Rodríguez,Real Betis,LaLiga,MID,MID,18.89664613278576,700000.0,24361157.52974716,23661157.52974716,5.0,2.426072388659802,0.85,23661157.52974716,33.801653613924515,100.0,91.19245383956996,85.0,83.58658453114305,93.9067719130068,Key Player Profile,4,700000.0,True,Real Betis,LaLiga,18.89664613278576,700000.0,,,,,,,,,,,,,,,,False,True,Real Betis,LaLiga,1190411,Jesús Rodríguez,jesus rodriguez,Jesús Rodríguez,jesus rodriguez,Como 1907,Serie A,2025-2026,30000000.0,2025-12-23,20.09,IT1,1047.0,3.0,True,PLAYER_ID_REQUIRED_HOMONYM,transfermarkt_kaggle_player_scores_latest_valuation,Jesús Rodríguez,jesus rodriguez,Como 1907,Serie A,2025-2026,30000000.0,2025-12-23,20.09,IT1,1047.0,2.0,True,PLAYER_ID_REQUIRED_HOMONYM,transfermarkt_kaggle_player_scores_latest_valuation,Jesús Rodríguez,jesus rodriguez,Como 1907,Serie A,2025-2026,30000000,2025-12-23,20.09,IT1,1047.0,2,True,PLAYER_ID_REQUIRED_HOMONYM,transfermarkt_kaggle_player_scores_latest_valuation
Mikel Jauregizar,Athletic Club,LaLiga,MID,MID,20.91170431211499,3000000.0,21565060.96097284,18565060.96097284,5.0,2.1872630243839013,1.0,18565060.96097284,6.188353653657614,94.97662504730567,88.5790136919461,100.0,91.64681724845995,93.79774767148535,Key Player Profile,4,3000000.0,True,Athletic Club,LaLiga,20.91170431211499,3000000.0,Mikel Jauregizar,mikel jauregizar,Athletic Bilbao,LaLiga,2025-2026,35000000.0,2026-03-16,22.34,ES1,621.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,player_id_tm,True,False,Athletic Bilbao,LaLiga,938729,Mikel Jauregizar,mikel jauregizar,Mikel Jauregizar,mikel jauregizar,Athletic Bilbao,LaLiga,2025-2026,35000000.0,2026-03-16,22.34,ES1,621.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Mikel Jauregizar,mikel jauregizar,Bilbao Athletic,LaLiga,2023-2024,800000.0,2024-06-07,20.57,ES1,621.0,1.0,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation,Mikel Jauregizar,mikel jauregizar,Bilbao Athletic,LaLiga,2023-2024,800000,2024-06-07,20.57,ES1,621.0,1,False,UNIQUE_NAME_FALLBACK_ALLOWED,transfermarkt_kaggle_player_scores_latest_valuation
