feature,VIF
log_minutes_played,122.97114994381367
age,120.97241390769727
position_group_MID,6.6617984595917905
position_group_DEF,5.738133936503236
league_Ligue 1,2.4515726400443807
league_Eredivisie,2.2792066041468866
goals_per90,2.2689962325973685
league_Serie A,2.1635996829744064
season_2023-2024,2.0863869718973818
league_Premier League,2.0822614841282374
assists_per90,2.028435083019796
season_2021-2022,2.0079452570303804
season_2022-2023,2.0016093462225535
season_2020-2021,1.993948643086403
league_LaLiga,1.836582583955118
league_Liga Portugal,1.778387275815812
position_group_GK,1.4632121653274257
