feature,VIF
age,17.763501098718063
minutes_played,4.606041068894477
position_group_DEF,2.7328140255100903
position_group_MID,2.3130157261257542
goals_per90,2.1186258295999236
season_2023-2024,2.0650187383733996
league_Serie A,2.016125760393275
league_Eredivisie,1.987205352532168
assists_per90,1.940794782933213
season_2021-2022,1.9287640843688736
league_Premier League,1.9093908251754121
season_2022-2023,1.8945643163453205
league_Ligue 1,1.8612920034662668
league_LaLiga,1.8160952189661665
league_Liga Portugal,1.8149853238230678
position_group_GK,1.2335626677795322
