club,league,season,position_group,age,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,log_market_value_eur,predicted_log_market_value,inefficiency_score,inefficiency_score_z,confidence_score,opportunity_score,matching_method,age_diff,club_score
Sporting CP,Liga Portugal,2022-2023,MID,22.2,50000000.0,4070877.1366975806,-45929122.86330242,-0.9185824572660484,17.72753356339242,15.21936904690136,-2.5081645164910604,-3.1493520248661118,1.0,-3.1493520248661118,exact_age_club_validated,1.1999999999999993,100.0
Braga,Liga Portugal,2021-2022,DEF,22.9,15000000.0,1495786.7463720476,-13504213.253627952,-0.9002808835751969,16.523560759066484,14.218162878138909,-2.3053978809275755,-2.8947500997975784,1.0,-2.8947500997975784,exact_age_club_validated,0.8999999999999986,76.92307692307692
Bayern Munich,Bundesliga,2022-2023,MID,21.1,30000000.0,3135203.4779512854,-26864796.522048716,-0.8954932174016238,17.216707939626428,14.958204635190523,-2.258503304435905,-2.8358673875758496,1.0,-2.8358673875758496,exact_age_club_validated,1.1000000000000014,100.0
RB Leipzig,Bundesliga,2020-2021,DEF,22.0,35000000.0,4075119.1307032844,-30924880.869296715,-0.883568024837049,17.37085861945369,15.220410538758193,-2.1504480806954955,-2.700188912162148,1.0,-2.700188912162148,exact_age_club_validated,1.0,100.0
Porto,Liga Portugal,2020-2021,DEF,22.3,10000000.0,1190809.753107967,-8809190.246892033,-0.8809190246892034,16.11809565095832,13.990144098473126,-2.127951552485195,-2.6719413685079165,1.0,-2.6719413685079165,exact_age_club_validated,1.3000000000000007,76.92307692307692
Real Madrid,LaLiga,2020-2021,MID,22.9,65000000.0,8526661.51500873,-56473338.48499127,-0.8688205920767887,17.98989782785991,15.958708461264747,-2.0311893665951626,-2.5504428846327025,1.0,-2.5504428846327025,exact_age_club_validated,0.8999999999999986,100.0
Benfica,Liga Portugal,2022-2023,DEF,22.0,13000000.0,1706475.7505760824,-11293524.249423917,-0.8687326345710705,16.38045991542581,14.34994083719341,-2.0305190782324,-2.5496012436643247,1.0,-2.5496012436643247,exact_age_club_validated,1.0,82.35294117647058
Juventus,Serie A,2021-2022,ATT,22.4,85000000.0,11712564.957216531,-73287435.04278347,-0.8622051181503938,18.258161814454592,16.2761727514871,-1.981989062967493,-2.488665008885294,1.0,-2.488665008885294,exact_age_club_validated,1.3999999999999986,84.21052631578947
Monaco,Ligue 1,2020-2021,MID,22.3,18000000.0,2539944.9329964872,-15460055.067003513,-0.8588919481668619,16.70588231586044,14.747652958837064,-1.9582293570233755,-2.4588313685744816,1.0,-2.4588313685744816,exact_age_club_validated,1.3000000000000007,80.0
RB Leipzig,Bundesliga,2022-2023,DEF,21.4,75000000.0,10658578.080525309,-64341421.91947469,-0.8578856255929959,18.132998671500584,16.18187557948651,-1.9511230920140754,-2.4499084570393217,1.0,-2.4499084570393217,exact_age_club_validated,1.3999999999999986,100.0
Paris Saint-Germain,Ligue 1,2023-2024,DEF,20.5,30000000.0,4359383.1264456045,-25640616.873554394,-0.8546872291184798,17.216707939626428,15.287841120555122,-1.928866819071306,-2.4219625875409565,1.0,-2.4219625875409565,exact_age_club_validated,1.5,100.0
Barcelona,LaLiga,2021-2022,MID,19.5,80000000.0,11683117.746499958,-68316882.25350004,-0.8539610281687505,18.197537192638155,16.27365543009581,-1.9238817625423437,-2.4157031505023028,1.0,-2.4157031505023028,exact_age_club_validated,1.5,85.71428571428572
Sporting CP,Liga Portugal,2021-2022,MID,21.1,15000000.0,2202775.790929558,-12797224.209070442,-0.8531482806046962,16.523560759066484,14.605228846174588,-1.9183319128918956,-2.408734536553966,1.0,-2.408734536553966,exact_age_club_validated,1.1000000000000014,100.0
Sporting CP,Liga Portugal,2023-2024,DEF,20.5,40000000.0,6137982.334524791,-33862017.66547521,-0.8465504416368803,17.50439001207821,15.630006636106975,-1.8743833759712363,-2.3535509898484133,1.0,-2.3535509898484133,exact_age_club_validated,1.5,100.0
Paris Saint-Germain,Ligue 1,2021-2022,DEF,19.9,40000000.0,6240272.3191691805,-33759727.68083082,-0.8439931920207705,17.50439001207821,15.646534380285871,-1.85785563179234,-2.3327980909639723,1.0,-2.3327980909639723,exact_age_club_validated,0.8999999999999986,100.0
Porto,Liga Portugal,2023-2024,MID,22.9,35000000.0,5565880.718232575,-29434119.281767424,-0.8409748366219264,17.37085861945369,15.532165790409408,-1.8386928290442803,-2.3087365067896024,1.0,-2.3087365067896024,exact_age_club_validated,0.8999999999999986,76.92307692307692
Paris Saint-Germain,Ligue 1,2022-2023,DEF,21.0,65000000.0,10398981.277753992,-54601018.722246006,-0.8400156726499386,17.98989782785991,16.157218405251673,-1.832679422608237,-2.301185832337756,1.0,-2.301185832337756,exact_age_club_validated,1.0,100.0
Braga,Liga Portugal,2020-2021,DEF,21.8,10000000.0,1706716.9471287867,-8293283.052871213,-0.8293283052871213,16.11809565095832,14.350082169121881,-1.768013481836439,-2.2199886819233687,1.0,-2.2199886819233687,exact_age_club_validated,0.8000000000000007,76.92307692307692
Sporting CP,Liga Portugal,2020-2021,DEF,19.0,40000000.0,7197166.930569078,-32802833.06943092,-0.820070826735773,17.50439001207821,15.789198024686575,-1.715191987391636,-2.1536638936599015,1.0,-2.1536638936599015,exact_age_club_validated,1.0,100.0
Porto,Liga Portugal,2021-2022,MID,22.3,30000000.0,5399134.642206517,-24600865.357793484,-0.8200288452597828,17.216707939626428,15.50174924724963,-1.714958692376797,-2.1533709590766463,1.0,-2.1533709590766463,exact_age_club_validated,1.3000000000000007,76.92307692307692
Benfica,Liga Portugal,2023-2024,DEF,22.9,15000000.0,2737851.162408551,-12262148.837591449,-0.8174765891727632,16.523560759066484,14.822683923385316,-1.7008768356811679,-2.1356892146748465,1.0,-2.1356892146748465,exact_age_club_validated,0.8999999999999986,82.35294117647058
Leverkusen,Bundesliga,2022-2023,MID,20.1,85000000.0,15671255.035677316,-69328744.96432269,-0.8156322936979139,18.258161814454592,16.567338702744525,-1.690823111710067,-2.123065355379472,1.0,-2.123065355379472,exact_age_club_validated,1.1000000000000014,76.92307692307692
Barcelona,LaLiga,2023-2024,MID,21.5,80000000.0,14752518.698645247,-65247481.30135475,-0.8155935162669344,18.197537192638155,16.50692438540259,-1.6906128072355635,-2.122801288641321,1.0,-2.122801288641321,exact_age_club_validated,1.5,85.71428571428572
Leicester City,Premier League,2021-2022,DEF,21.5,40000000.0,7556932.272209243,-32443067.727790758,-0.8110766931947689,17.50439001207821,15.837975881703763,-1.6664141303744486,-2.092416458830293,1.0,-2.092416458830293,exact_age_club_validated,1.5,100.0
Benfica,Liga Portugal,2021-2022,DEF,20.9,10000000.0,1896396.6113409575,-8103603.388659042,-0.8103603388659042,16.11809565095832,14.455466123118057,-1.662629527840263,-2.087664360004245,1.0,-2.087664360004245,exact_age_club_validated,0.8999999999999986,82.35294117647058
AZ Alkmaar,Eredivisie,2023-2024,DEF,20.0,5000000.0,948381.141775295,-4051618.858224705,-0.810323771644941,15.424948470398375,13.762511748723579,-1.662436721674796,-2.0874222648451646,1.0,-2.0874222648451646,exact_age_club_validated,1.0,100.0
Barcelona,LaLiga,2022-2023,MID,20.5,100000000.0,19423280.511480495,-80576719.4885195,-0.805767194885195,18.420680743952367,16.781982930942412,-1.638697813009955,-2.0576147384328505,1.0,-2.0576147384328505,exact_age_club_validated,1.5,85.71428571428572
Sampdoria,Serie A,2021-2022,MID,21.9,15000000.0,2972618.280479354,-12027381.719520647,-0.8018254479680431,16.523560759066484,14.904953698338035,-1.6186070607284488,-2.032387983583703,1.0,-2.032387983583703,exact_age_club_validated,0.8999999999999986,85.71428571428572
Chelsea,Premier League,2022-2023,MID,22.4,80000000.0,15855720.73104101,-64144279.268958986,-0.8018034908619873,18.197537192638155,16.579040922571433,-1.6184962700667214,-2.0322488703825736,1.0,-2.0322488703825736,exact_age_club_validated,1.3999999999999986,82.35294117647058
Benfica,Liga Portugal,2020-2021,DEF,21.3,7000000.0,1394871.4598079587,-5605128.540192042,-0.8007326485988631,15.761420707019587,14.14831282548529,-1.6131078815342974,-2.0254829934938052,1.0,-2.0254829934938052,exact_age_club_validated,1.3000000000000007,82.35294117647058
Porto,Liga Portugal,2020-2021,MID,21.0,9000000.0,1805101.8996787819,-7194898.100321218,-0.7994331222579132,16.012735135300492,14.406127602271313,-1.6066075330291785,-2.0173208950380093,1.0,-2.0173208950380093,exact_age_club_validated,1.0,76.92307692307692
Monaco,Ligue 1,2021-2022,DEF,21.2,30000000.0,6018613.173703657,-23981386.826296344,-0.7993795608765448,17.216707939626428,15.610367420929133,-1.6063405186972943,-2.016985621127044,1.0,-2.016985621127044,exact_age_club_validated,1.1999999999999993,80.0
Newcastle United,Premier League,2022-2023,ATT,22.3,35000000.0,7181173.689766606,-27818826.31023339,-0.7948236088638112,17.37085861945369,15.786973394206518,-1.5838852252471707,-1.9887898534925297,1.0,-1.9887898534925297,exact_age_club_validated,1.3000000000000007,100.0
Milan,Serie A,2020-2021,MID,21.1,27000000.0,5552832.831339297,-21447167.168660704,-0.7943395247652113,17.111347423968603,15.529818775563742,-1.581528648404861,-1.9858308410349002,1.0,-1.9858308410349002,exact_age_club_validated,1.1000000000000014,76.92307692307692
Porto,Liga Portugal,2020-2021,DEF,22.3,10000000.0,2096814.7053979016,-7903185.294602098,-0.7903185294602098,16.11809565095832,14.555929944224038,-1.562165706734282,-1.9615179543974157,1.0,-1.9615179543974157,exact_age_club_validated,1.3000000000000007,76.92307692307692
Leverkusen,Bundesliga,2023-2024,DEF,22.4,40000000.0,8483133.522947058,-31516866.477052942,-0.7879216619263235,17.50439001207821,15.95359045872813,-1.5507995533500818,-1.9472461560603784,1.0,-1.9472461560603784,exact_age_club_validated,1.3999999999999986,76.92307692307692
Chelsea,Premier League,2022-2023,DEF,22.5,55000000.0,11706877.989781853,-43293122.01021814,-0.7871476729130572,17.822843743196746,16.275687089419105,-1.547156653777641,-1.9426719851599379,1.0,-1.9426719851599379,exact_age_club_validated,1.5,82.35294117647058
Chelsea,Premier League,2022-2023,ATT,22.5,50000000.0,9724727.587507213,-40275272.41249279,-0.8055054482498558,17.72753356339242,16.09018243550907,-1.637351127883349,-2.0559237865425546,0.9333333333333332,-1.9188622007730507,fuzzy_age_club_validated,1.5,82.35294117647058
Monaco,Ligue 1,2021-2022,MID,22.3,60000000.0,13286553.018547777,-46713446.98145223,-0.7785574496908705,17.909855120186375,16.402263030497902,-1.5075920896884725,-1.89299313067973,1.0,-1.89299313067973,exact_age_club_validated,1.3000000000000007,80.0
