club,league,season,position_group,age,market_value_eur,predicted_market_value_eur,market_value_gap_eur,market_value_gap_pct,log_market_value_eur,predicted_log_market_value,inefficiency_score,inefficiency_score_z,confidence_score,opportunity_score,matching_method,age_diff,club_score
Paços de Ferreira,Liga Portugal,2022-2023,DEF,22.3,500000.0,4865195.761338057,4365195.761338057,8.730391522676115,13.122363377404328,15.397617511505546,2.2752541341012176,2.856900401550527,1.0,2.856900401550527,exact_age_club_validated,1.3000000000000007,91.89189189189189
Norwich City,Premier League,2021-2022,DEF,20.0,1200000.0,11545232.225714413,10345232.225714413,8.621026854762011,13.997832114758229,16.26178311539861,2.2639510006403825,2.84270773355839,1.0,2.84270773355839,exact_age_club_validated,1.0,100.0
Boavista,Liga Portugal,2020-2021,DEF,21.9,600000.0,4646782.898559671,4046782.898559671,6.744638164266118,13.304684934198283,15.351685688352928,2.047000754154645,2.570296297397496,1.0,2.570296297397496,exact_age_club_validated,0.8999999999999986,84.21052631578947
Eibar,LaLiga,2020-2021,MID,22.0,600000.0,4016285.140086467,3416285.140086467,5.6938085668107785,13.304684934198283,15.205867938850796,1.9011830046525127,2.387201679147146,1.0,2.387201679147146,exact_age_club_validated,1.0,76.92307692307692
Getafe,LaLiga,2023-2024,MID,20.0,1000000.0,6313154.511835241,5313154.511835241,5.313154511835241,13.815510557964274,15.658146032234036,1.8426354742697626,2.3136870503620295,1.0,2.3136870503620295,exact_age_club_validated,1.0,80.0
Schalke 04,Bundesliga,2022-2023,MID,22.5,600000.0,3604847.7568954285,3004847.7568954285,5.008079594825714,13.304684934198283,15.09779009671246,1.793105162514177,2.2514948031652837,1.0,2.2514948031652837,exact_age_club_validated,1.5,82.35294117647058
Schalke 04,Bundesliga,2020-2021,MID,21.1,700000.0,4192172.701406057,3492172.701406057,4.988818144865796,13.458835614025542,15.248729701988905,1.7898940879633631,2.247462849092052,1.0,2.247462849092052,exact_age_club_validated,1.1000000000000014,70.0
Stuttgart,Bundesliga,2022-2023,ATT,22.3,2500000.0,14759219.23916731,12259219.23916731,4.903687695666924,14.73180128983843,16.507378478662115,1.7755771888236858,2.2294859759647534,1.0,2.2294859759647534,exact_age_club_validated,1.3000000000000007,81.81818181818181
Paços de Ferreira,Liga Portugal,2022-2023,ATT,22.4,700000.0,4067227.7656936026,3367227.7656936026,4.81032537956229,13.458835614025542,15.218472186688235,1.7596365726626928,2.2094702985822847,1.0,2.2094702985822847,exact_age_club_validated,1.3999999999999986,91.89189189189189
Levante,LaLiga,2020-2021,ATT,22.9,1500000.0,8364212.66447437,6864212.66447437,4.576141776316247,14.22097566607244,15.939472765376046,1.7184970993036064,2.1578139248183197,1.0,2.1578139248183197,exact_age_club_validated,0.8999999999999986,82.35294117647058
Toulouse,Ligue 1,2023-2024,DEF,20.4,500000.0,2654717.5318693924,2154717.5318693924,4.309435063738785,13.122363377404328,14.791848815988606,1.6694854385842781,2.0962729166772642,1.0,2.0962729166772642,exact_age_club_validated,1.3999999999999986,84.21052631578947
Metz,Ligue 1,2023-2024,MID,21.4,1000000.0,5248211.461604109,4248211.461604109,4.248211461604109,13.815510557964274,15.473397902545074,1.6578873445808,2.081709884390393,1.0,2.081709884390393,exact_age_club_validated,1.3999999999999986,72.72727272727273
Moreirense,Liga Portugal,2021-2022,DEF,22.4,500000.0,2616471.420353772,2116471.420353772,4.232942840707544,13.122363377404328,14.777337181881228,1.6549738044768993,2.0780515265093933,1.0,2.0780515265093933,exact_age_club_validated,1.3999999999999986,86.95652173913044
Montpellier,Ligue 1,2023-2024,DEF,20.4,1000000.0,5207232.530564422,4207232.530564422,4.207232530564422,13.815510557964274,15.465559088448567,1.650048530484293,2.0718671548225878,1.0,2.0718671548225878,exact_age_club_validated,1.3999999999999986,84.61538461538461
Brentford,Premier League,2021-2022,DEF,23.0,2500000.0,12968710.43205471,10468710.43205471,4.1874841728218835,14.73180128983843,16.378050124368304,1.6462488345298745,2.0670961040923648,1.0,2.0670961040923648,exact_age_club_validated,1.0,85.71428571428572
Metz,Ligue 1,2023-2024,ATT,19.9,1000000.0,5178924.556627757,4178924.556627757,4.178924556627757,13.815510557964274,15.460107978130155,1.6445974201658817,2.0650225219421756,1.0,2.0650225219421756,exact_age_club_validated,0.8999999999999986,72.72727272727273
Salernitana,Serie A,2021-2022,DEF,23.0,1400000.0,7246542.109164767,5846542.109164767,4.176101506546262,14.151982794585487,15.796034962593776,1.6440521680082885,2.0643378814509763,1.0,2.0643378814509763,exact_age_club_validated,1.0,88.0
Southampton,Premier League,2020-2021,ATT,21.9,2000000.0,10034123.858374339,8034123.858374339,4.017061929187169,14.508657738524219,16.121502227818432,1.612844489294213,2.025152267627265,1.0,2.025152267627265,exact_age_club_validated,0.8999999999999986,88.0
Lorient,Ligue 1,2021-2022,ATT,20.3,900000.0,4507412.111365345,3607412.1113653453,4.008235679294828,13.710150042306449,15.321233735558998,1.6110836932525494,2.0229413414528734,1.0,2.0229413414528734,exact_age_club_validated,1.3000000000000007,82.35294117647058
Benevento,Serie A,2020-2021,DEF,22.2,1000000.0,4977360.507387855,3977360.507387855,3.9773605073878553,13.815510557964274,15.420410289894512,1.6048997319302387,2.0151765114411,1.0,2.0151765114411,exact_age_club_validated,1.1999999999999993,72.0
Lecce,Serie A,2022-2023,DEF,23.0,4000000.0,18886891.464228824,14886891.464228824,3.721722866057206,15.201804919084164,16.753978666075398,1.5521737469912331,1.9489716487461115,1.0,1.9489716487461115,exact_age_club_validated,1.0,76.92307692307692
Famalicão,Liga Portugal,2022-2023,ATT,19.5,500000.0,2334839.5632469472,1834839.5632469472,3.6696791264938944,13.122363377404328,14.663453737194311,1.5410903597899832,1.935054902976393,1.0,1.935054902976393,exact_age_club_validated,1.5,85.71428571428572
Celta Vigo,LaLiga,2023-2024,ATT,20.3,5000000.0,22628596.571164478,17628596.571164478,3.5257193142328953,15.424948470398375,16.93472499938811,1.5097765289897342,1.8957360003331742,1.0,1.8957360003331742,exact_age_club_validated,1.3000000000000007,86.95652173913044
Almería,LaLiga,2023-2024,MID,19.4,1000000.0,4511602.147789523,3511602.147789523,3.511602147789523,13.815510557964274,15.32216289180717,1.5066523338428972,1.89181313552623,1.0,1.89181313552623,exact_age_club_validated,1.3999999999999986,73.6842105263158
Greuther Fürth,Bundesliga,2021-2022,ATT,21.9,2000000.0,8987387.639275214,6987387.639275214,3.493693819637607,14.508657738524219,16.01133277904458,1.5026750405203604,1.8868190864132384,1.0,1.8868190864132384,exact_age_club_validated,0.8999999999999986,82.35294117647058
Moreirense,Liga Portugal,2020-2021,MID,20.5,600000.0,2682386.2013882594,2082386.2013882594,3.4706436689804323,13.304684934198283,14.802217329991883,1.4975323957936002,1.8803617753090813,1.0,1.8803617753090813,exact_age_club_validated,1.5,86.95652173913044
RKC Waalwijk,Eredivisie,2020-2021,MID,21.9,600000.0,2634736.462583833,2034736.462583833,3.3912274376397216,13.304684934198283,14.784293720756162,1.479608786557879,1.857856172240267,1.0,1.857856172240267,exact_age_club_validated,0.8999999999999986,100.0
Leeds United,Premier League,2022-2023,MID,21.4,5000000.0,21828684.431522213,16828684.431522213,3.365736886304443,15.424948470398375,16.89873546246473,1.4737869920663567,1.850546093435754,1.0,1.850546093435754,exact_age_club_validated,1.3999999999999986,100.0
Metz,Ligue 1,2023-2024,DEF,20.0,800000.0,3491448.1590828155,2691448.1590828155,3.3643101988535196,13.592367006650065,15.065827153408554,1.4734601467584891,1.8501356933502004,1.0,1.8501356933502004,exact_age_club_validated,1.0,72.72727272727273
Sampdoria,Serie A,2022-2023,DEF,21.4,2700000.0,11590557.249370478,8890557.249370478,3.292798981248325,14.808762330974558,16.26570129434739,1.4569389633728331,1.8293910324610507,1.0,1.8293910324610507,exact_age_club_validated,1.3999999999999986,85.71428571428572
Portimonense,Liga Portugal,2023-2024,MID,19.9,700000.0,2971833.1559765055,2271833.1559765055,3.2454759371092936,13.458835614025542,14.904689544608862,1.4458539305833202,1.8154722204246683,1.0,1.8154722204246683,exact_age_club_validated,0.8999999999999986,85.71428571428572
Girona,LaLiga,2022-2023,MID,21.4,2000000.0,8356089.431663056,6356089.431663056,3.178044715831528,14.508657738524219,15.938501104289575,1.4298433657653558,1.795368712701318,1.0,1.795368712701318,exact_age_club_validated,1.3999999999999986,80.0
B-SAD,Liga Portugal,2020-2021,DEF,22.1,1500000.0,6264998.603451284,4764998.603451284,3.176665735634189,14.22097566607244,15.650488923399477,1.429513257327038,1.7949542152982145,1.0,1.7949542152982145,exact_age_club_validated,1.1000000000000014,100.0
Lorient,Ligue 1,2021-2022,ATT,21.4,1200000.0,4895743.108460319,3695743.108460319,3.0797859237169325,13.997832114758229,15.403876632120495,1.4060445173622664,1.7654859235481508,1.0,1.7654859235481508,exact_age_club_validated,1.3999999999999986,82.35294117647058
Southampton,Premier League,2021-2022,ATT,22.9,1800000.0,7332288.30222075,5532288.30222075,3.0734935012337496,14.403297222866392,15.80779820825716,1.4045009853907686,1.7635478028595273,1.0,1.7635478028595273,exact_age_club_validated,0.8999999999999986,88.0
Bochum,Bundesliga,2021-2022,MID,22.4,900000.0,3641531.466752243,2741531.466752243,3.046146074169159,13.710150042306449,15.107914883754013,1.3977648414475645,1.7550896301887007,1.0,1.7550896301887007,exact_age_club_validated,1.3999999999999986,75.0
Greuther Fürth,Bundesliga,2021-2022,DEF,21.4,900000.0,3639692.394922336,2739692.394922336,3.044102661024818,13.710150042306449,15.107409729152547,1.3972596868460982,1.7544553377981744,1.0,1.7544553377981744,exact_age_club_validated,1.3999999999999986,82.35294117647058
Bologna,Serie A,2023-2024,MID,23.0,2500000.0,10094243.012446772,7594243.012446772,3.0376972049787088,14.73180128983843,16.127475820532787,1.3956745306943574,1.7524649521183713,1.0,1.7524649521183713,exact_age_club_validated,1.0,82.35294117647058
Almería,LaLiga,2023-2024,DEF,21.0,4000000.0,16026752.060664304,12026752.060664304,3.006688015166076,15.201804919084164,16.589769887753366,1.387964968669202,1.742784516638515,1.0,1.742784516638515,exact_age_club_validated,1.0,82.35294117647058
Celta Vigo,LaLiga,2020-2021,DEF,21.4,1000000.0,3984607.3255689032,2984607.3255689032,2.9846073255689034,13.815510557964274,15.197949327225507,1.382438769261233,1.7358455988837693,1.0,1.7358455988837693,exact_age_club_validated,1.3999999999999986,90.9090909090909
Augsburg,Bundesliga,2022-2023,DEF,19.9,1000000.0,3964748.5918119573,2964748.5918119573,2.9647485918119574,13.815510557964274,15.192953004183776,1.3774424462195025,1.7295720151595348,1.0,1.7295720151595348,exact_age_club_validated,0.8999999999999986,84.21052631578947
Moreirense,Liga Portugal,2020-2021,DEF,22.5,1000000.0,3943312.441104059,2943312.441104059,2.943312441104059,13.815510557964274,15.187531649158492,1.3720210911942186,1.7227647442193161,1.0,1.7227647442193161,exact_age_club_validated,1.5,86.95652173913044
Clermont Foot,Ligue 1,2023-2024,MID,22.3,1000000.0,3939563.0736574847,2939563.0736574847,2.9395630736574847,13.815510557964274,15.18658038011402,1.371069822149746,1.7215702926306324,1.0,1.7215702926306324,exact_age_club_validated,1.3000000000000007,100.0
Greuther Fürth,Bundesliga,2021-2022,DEF,22.3,1600000.0,6243242.225886199,4643242.225886199,2.9020263911788744,14.28551418721001,15.647010192888537,1.3614960056785268,1.7095490244518148,1.0,1.7095490244518148,exact_age_club_validated,1.3000000000000007,82.35294117647058
NEC Nijmegen,Eredivisie,2021-2022,DEF,21.0,800000.0,3118292.3827570365,2318292.3827570365,2.8978654784462954,13.592367006650065,14.952796096736215,1.36042909008615,1.7082093624164416,1.0,1.7082093624164416,exact_age_club_validated,1.0,100.0
Ajaccio,Ligue 1,2022-2023,ATT,18.0,900000.0,3484436.447715119,2584436.447715119,2.8715960530167988,13.710150042306449,15.063816881127911,1.3536668388214625,1.6997184083450185,1.0,1.6997184083450185,exact_age_club_validated,1.0,82.35294117647058
Crotone,Serie A,2020-2021,MID,22.9,1800000.0,6958110.788862628,5158110.788862628,2.865617104923682,14.403297222866392,15.75541855708273,1.3521213342163385,1.6977778107384478,1.0,1.6977778107384478,exact_age_club_validated,0.8999999999999986,82.35294117647058
B-SAD,Liga Portugal,2021-2022,ATT,21.2,500000.0,1926967.8894550977,1426967.8894550977,2.8539357789101953,13.122363377404328,14.471458283767836,1.3490949063635078,1.6939777064694668,1.0,1.6939777064694668,exact_age_club_validated,1.1999999999999993,100.0
Everton,Premier League,2021-2022,DEF,20.0,3000000.0,11517125.530102778,8517125.530102778,2.8390418433675926,14.914122846632385,16.25934566214038,1.345222815507995,1.6891157537960688,1.0,1.6891157537960688,exact_age_club_validated,1.0,82.35294117647058
Gil Vicente FC,Liga Portugal,2020-2021,MID,21.9,700000.0,2686768.4181514233,1986768.4181514233,2.838240597359176,13.458835614025542,14.803849697858622,1.34501408383308,1.6888536619282006,1.0,1.6888536619282006,exact_age_club_validated,0.8999999999999986,100.0
