file,keyword,mentions
PROJECT_STATUS.md,contract,2
PROJECT_STATUS.md,contrato,2
PROJECT_STATUS.md,contractual,2
PROJECT_STATUS.md,expiración,1
README.md,contract,5
README.md,contrato,2
README.md,contractual,4
README.md,expiración,2
tm3_contract_audit.py,expiration_year,1
tm3_contract_audit.py,contract_expires,1
tm3_contract_audit.py,contract_remaining,1
tm3_contract_audit.py,contract_expiration_date,1
tm3_contract_audit.py,contract_end,1
tm3_contract_audit.py,remaining_contract,1
tm3_contract_audit.py,contract_until,1
tm3_contract_audit.py,contract,51
tm3_contract_audit.py,contrato,1
tm3_contract_audit.py,contractual,3
tm3_contract_audit.py,expiration,3
tm3_contract_audit.py,expiración,1
tm3_contract_audit.py,expires,3
tm3_contract_audit.py,free agent,1
app\streamlit_app.py,contract,4
app\streamlit_app.py,contrato,3
app\streamlit_app.py,contractual,2
docs\architecture.md,contract,2
docs\architecture.md,contrato,1
docs\architecture.md,contractual,1
docs\architecture.md,expiración,1
docs\data_dictionary.md,contrato,1
docs\data_quality.md,contrato,1
docs\data_sources.md,contract,1
docs\data_sources.md,contrato,1
docs\data_sources.md,contractual,1
docs\feature_engineering_plan.md,contract,1
docs\feature_engineering_plan.md,contractual,1
docs\pipeline_reference.md,contract,1
docs\pipeline_reference.md,contractual,1
docs\schema_decisions.md,contract,2
docs\schema_decisions.md,contractual,2
notebooks\04_supervised_machine_learning.ipynb,contract,1
notebooks\04_supervised_machine_learning.ipynb,contractual,1
notebooks\04_supervised_machine_learning_v13a1.ipynb,contract,1
notebooks\04_supervised_machine_learning_v13a1.ipynb,contractual,1
