player_name_fbref,player_id_tm,club_actual,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank,market_value_growth_prev_growth_component_z,delta_log_market_value_prev_growth_component_z,growth_index_growth_component_z,breakout_indicator_growth_component_z,career_year_growth_component_z,growth_score_raw,growth_score_z,growth_score,growth_rank,high_growth_flag,matching_confidence_component,minutes_reliability_component,feature_completeness_component,temporal_stability_component,confidence_score_raw,confidence_score,confidence_score_z,confidence_rank,low_confidence_flag,opportunity_score_raw,opportunity_score,opportunity_rank,opportunity_tier,is_scouting_target,is_high_priority_or_target,position,club_anterior,expected_roi,expected_upside,player_level_tier,player_level_rank,portfolio_value_score,is_eligible_portfolio,portfolio_cost,upside_score_norm,dss_entity,dss_universe,dss_model,dss_feature_set,name_key,contract_expiration_date,current_club_name,market_value_in_eur,contract_months_remaining,contract_years_remaining,contract_expiring_12m,contract_critical_zone,free_agent_horizon,negotiation_leverage_score,contract_opportunity_score,contract_status,recruitment_contract_score
Jeremy Sarmiento,568005.0,Burnley,Brighton and Hove Albion Football Club,Championship,2024-2025,MID,22.091718001368925,1166,7000000.0,15.761420707019589,XGBoost,B_v13B_advanced,14.182984352111816,1444082.0,1.578436354907771,-1.578436354907771,0.5555555555555556,0.4418326729139732,0.046939919901993,0,3,0.85,exact_age_validated,0.31,0.0,1444081.9546350464,1.5784363549077725,-1.5784363549077725,-5555918.045364954,-0.7937025779092791,-1.5784363549077725,-0.7937025779092791,-1.5383528125199024,-0.8937742041371921,False,True,5794,-0.0818971854331552,0.209251722081496,-0.0734154883196111,-0.6249944573526541,-0.8922944285896809,-0.08726167825015,-0.0968489522435879,17.46255886651498,2504,False,0.85,0.6477777777777778,1.0,0.7222222222222222,0.7964444444444444,79.64444444444445,-0.1041929398728531,3487,False,-0.891144872921414,24.490844661548312,5671,interesting,False,False,MID,,-0.7526948547009331,-5268863.982906532,Development Prospect,1,51.780432560862536,True,7000000.0,76.35622013158587,player,global_prospect_universe,XGBoost,B_v13B_advanced,jeremy sarmiento,2026-05-31,Brighton and Hove Albion Football Club,5000000.0,11.0,0.92,1,0,1,81.67,77.17,Negotiable Target,40.29
Mark O'Mahony,943549.0,Portsmouth,Brighton and Hove Albion Football Club,Championship,2024-2025,ATT,19.95893223819301,595,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,14.52814483642578,2039356.5,-1.405781459021453,1.405781459021453,0.6666666666666666,0.5108242904362132,0.1014495261138139,0,1,0.85,exact_age_validated,0.45,0.0,2039356.4215742708,-1.4057814590214512,1.4057814590214512,1539356.4215742708,3.078712843148541,1.4057814590214512,3.078712843148541,1.5926995326139048,2.1573748217095474,True,False,296,-0.0105045590727483,0.3407320564113786,0.022891050588587,-0.6249944573526541,0.889997660433723,0.0867914491351565,0.0963270599534697,20.593959647852625,2175,False,0.85,0.3305555555555555,1.0,0.3333333333333333,0.6465277777777778,64.65277777777779,-1.4795852098503286,5646,True,0.6041494659559494,61.84909193681074,1048,high_priority,False,True,ATT,,3.727823110325728,1863911.555162864,First Team Ready,3,84.40176536251288,True,500000.0,80.01413392964866,player,global_prospect_universe,XGBoost,B_v13B_advanced,mark o mahony,2026-05-31,Brighton and Hove Albion Football Club,450000.0,11.0,0.92,1,0,1,81.67,77.17,Negotiable Target,66.45
Ilias Akhomach,709969.0,Villarreal,Rayo Vallecano de Madrid S. A. D.,LaLiga,2024-2025,MID,20.698151950718685,584,15000000.0,16.523560759066484,XGBoost,B_v13B_advanced,15.167694091796877,3865857.75,1.3558666672696091,-1.3558666672696091,0.0,0.0,-0.283298444277076,0,2,0.85,exact_age_validated,0.15,0.0,3865857.5523020257,1.3558666672696074,-1.3558666672696074,-11134142.447697977,-0.742276163179865,-1.3558666672696074,-0.742276163179865,-1.3048318747443788,-0.8532543636388864,False,True,5592,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.0011483840779789,-0.5482639740361973,-0.6085006901436733,9.16863751670104,4709,False,0.85,0.3244444444444444,1.0,0.8333333333333333,0.6943888888888889,69.4388888888889,-1.0404892526201657,4926,False,-1.07788055416936,19.825463690191945,5910,low_opportunity,False,False,MID,,-0.6828223676091602,-10242335.514137402,Development Prospect,1,53.33131675002985,True,15000000.0,73.80566599718702,player,global_prospect_universe,XGBoost,B_v13B_advanced,ilias akhomach,2026-06-30,Rayo Vallecano de Madrid S. A. D.,15000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,36.68
Jamie Lawrence,522248.0,WSG Tirol,Wattener Sportgemeinschaft Swarovski Tirol,Austrian Bundesliga,2024-2025,DEF,22.102669404517453,2510,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,14.826376914978027,2747980.75,-1.704013537573699,1.704013537573699,0.0,0.0,-0.283298444277076,0,1,0.85,exact_age_validated,0.11,0.04,2747980.716399891,-1.704013537573699,1.704013537573699,2247980.716399891,4.495961432799782,1.704013537573699,4.495961432799782,1.905605730206656,3.2740516715594543,True,False,161,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,0.889997660433723,-0.5037066718106122,-0.559047962189276,9.970270748459184,3806,False,0.85,1.0,1.0,0.6666666666666666,0.9141666666666668,91.41666666666669,0.97583530547911,1351,False,1.1034882221621638,74.3245091462941,245,high_priority,False,True,DEF,,5.894861258605598,2947430.629302799,Key Player Profile,4,89.56182511915425,True,500000.0,80.56979691814549,player,global_prospect_universe,XGBoost,B_v13B_advanced,jamie lawrence,2026-06-30,Wattener Sportgemeinschaft Swarovski Tirol,800000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,74.83
Matteo Prati,876298.0,Cagliari,Torino Calcio,Serie A,2024-2025,MID,20.974674880219027,570,9000000.0,16.012735135300492,XGBoost,B_v13B_advanced,14.831852912902832,2763070.0,1.1808822223976598,-1.1808822223976598,-0.1,-0.1053605045467165,-0.3581238907224202,0,2,0.85,exact_age_validated,0.0,0.0,2763069.929644401,1.1808822223976598,-1.1808822223976598,-6236930.070355599,-0.6929922300395109,-1.1808822223976598,-0.6929922300395109,-1.121237549316482,-0.81442262472643,False,True,5365,-0.5031136809595563,-0.8335581800398755,-0.7890745500749196,-0.6249944573526541,-0.0011483840779789,-0.6608270607577238,-0.7334308683031248,7.143507931242517,5255,False,0.85,0.3166666666666666,1.0,0.7833333333333333,0.6866666666666669,68.66666666666669,-1.1113358435139458,5034,True,-1.0223055379026356,21.21394296550157,5836,interesting,False,False,MID,,-0.1728788824302749,-1555909.9418724747,Development Prospect,1,65.13256448342868,True,9000000.0,78.26034086912804,player,global_prospect_universe,XGBoost,B_v13B_advanced,matteo prati,2026-06-30,Torino Calcio,6000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,37.65
Aster Vranckx,503881.0,Wolfsburg,Unione Sportiva Sassuolo Calcio,Bundesliga,2024-2025,MID,22.21218343600274,556,12000000.0,16.300417207752275,XGBoost,B_v13B_advanced,15.141701698303224,3766669.5,1.1587155094490529,-1.1587155094490529,0.0,0.0,-0.283298444277076,0,3,0.85,exact_age_validated,0.0,0.0,3766669.315721947,1.1587155094490509,-1.1587155094490509,-8233330.684278053,-0.6861108903565044,-1.1587155094490509,-0.6861108903565044,-1.09798015227338,-0.8090006876180941,False,True,5316,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-0.8922944285896809,-0.5928212762617825,-0.6579534180980705,8.367004284942897,4932,False,0.85,0.3088888888888889,1.0,1.0,0.7056111111111112,70.56111111111112,-0.9375323363572602,4766,False,-0.9558839055463288,22.87341274444587,5749,interesting,False,False,MID,,-0.5904886566113093,-7085863.879335713,Development Prospect,1,57.16109677603511,True,12000000.0,75.42440488564783,player,global_prospect_universe,XGBoost,B_v13B_advanced,aster vranckx,2026-06-30,Unione Sportiva Sassuolo Calcio,7000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,38.81
Endrick,971570.0,Real Madrid,Olympique Lyonnais,LaLiga,2024-2025,ATT,18.43668720054757,363,40000000.0,17.50439001207821,XGBoost,B_v13B_advanced,15.576318740844728,5817137.0,1.9280712712334849,-1.9280712712334849,-0.3333333333333333,-0.4054650997748332,-0.5650313145398166,0,1,0.85,exact_age_validated,0.25,0.0,5817136.80553448,1.9280712712334829,-1.9280712712334829,-34182863.19446552,-0.8545715798616379,-1.9280712712334829,-0.8545715798616379,-1.90519105723264,-0.941734036907528,False,True,6016,-0.6530381963164109,-1.4054805474897925,-1.1546346377965342,-0.6249944573526541,0.889997660433723,-0.9242138453045736,-1.0257554560224336,2.404899695274426,6074,False,0.85,0.2016666666666666,1.0,0.5,0.6180833333333334,61.808333333333344,-1.7405453144374945,5978,True,-1.6524030083710597,5.471666346605519,6194,low_opportunity,False,False,ATT,,-0.8204623389978357,-32818493.559913427,Development Prospect,1,43.25249887376236,True,40000000.0,62.22789524271257,player,global_prospect_universe,XGBoost,B_v13B_advanced,endrick,2026-06-30,Olympique Lyonnais,,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,26.63
Soumaïla Coulibaly,659513.0,Brest,Stade brestois 29,Ligue 1,2024-2025,DEF,21.15811088295688,438,9000000.0,16.012735135300492,XGBoost,B_v13B_advanced,14.832330703735352,2764390.25,1.1804044315651403,-1.1804044315651403,0.5,0.405465052552616,0.0185704236655984,0,2,0.85,exact_age_validated,0.0,0.0,2764390.4145590686,1.1804044315651403,-1.1804044315651403,-6235609.585440932,-0.6928455094934368,-1.1804044315651403,-0.6928455094934368,-1.1207362494114743,-0.8143070208455057,False,True,5364,-0.1175934986133587,0.1399443619177472,-0.1235381764652434,-0.6249944573526541,-0.0011483840779789,-0.0867361500641586,-0.0962656852791155,17.472013677221053,2473,False,0.85,0.2433333333333333,1.0,0.5833333333333333,0.6410000000000001,64.10000000000001,-1.5302991364253735,5735,True,-0.9465311857811646,23.107079928624174,5737,interesting,False,False,DEF,,-0.6928455094934368,-6235609.585440932,Development Prospect,1,53.67464673816959,True,9000000.0,75.86044228748392,player,global_prospect_universe,XGBoost,B_v13B_advanced,soumaila coulibaly,2026-06-30,Stade brestois 29,7000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,38.97
Tommaso Baldanzi,641537.0,Roma,Genoa Cricket and Football Club,Serie A,2024-2025,MID,21.741273100616016,832,14000000.0,16.454567887579532,XGBoost,B_v13B_advanced,15.210439682006836,4034688.5,1.2441282055726963,-1.2441282055726963,-0.0666666666666666,-0.068992866725047,-0.3324391875283366,0,4,0.85,exact_age_validated,0.11,0.11,4034688.6000805376,1.2441282055726963,-1.2441282055726963,-9965311.39991946,-0.7118079571371044,-1.2441282055726963,-0.7118079571371044,-1.1875954683048942,-0.8292478903971101,False,True,5458,-0.4816958930514341,-0.7642507866012481,-0.7436953033804148,-0.6249944573526541,-1.7834404731013829,-0.711379299131243,-0.7895371845947785,6.2340194255245285,5447,False,0.85,0.4622222222222222,1.0,0.9666666666666668,0.7559444444444446,75.59444444444446,-0.4757552762870002,4076,False,-0.9457128589737864,23.12752490352119,5735,interesting,False,False,MID,,-0.6207320840469513,-8690249.17665732,Development Prospect,1,55.920409891165065,True,14000000.0,74.60162515773419,player,global_prospect_universe,XGBoost,B_v13B_advanced,tommaso baldanzi,2026-06-30,Genoa Cricket and Football Club,10000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,38.99
Yunus Musah,503991.0,Milan,Atalanta Bergamasca Calcio S.p.a.,Serie A,2024-2025,MID,22.05338809034908,1571,22000000.0,16.90655301132259,XGBoost,B_v13B_advanced,15.165035247802734,3855592.5,1.741517763519855,-1.741517763519855,0.0,0.0,-0.283298444277076,0,4,0.85,exact_age_validated,0.0,0.11,3855592.492810128,1.741517763519855,-1.741517763519855,-18144407.50718987,-0.8247457957813578,-1.741517763519855,-0.8247457957813578,-1.7094584283697971,-0.918233740026466,False,True,5909,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,-1.7834404731013829,-0.6373785784873676,-0.7074061460524678,7.565371053184755,5222,False,0.85,0.8727777777777778,1.0,1.0,0.9029722222222224,90.29722222222225,0.873133233068341,1617,False,-0.9424270255028372,23.20961775716312,5729,interesting,False,False,MID,,-0.712415798732286,-15673147.572110292,Development Prospect,1,52.09629650429216,True,22000000.0,71.02057311777169,player,global_prospect_universe,XGBoost,B_v13B_advanced,yunus musah,2026-06-30,Atalanta Bergamasca Calcio S.p.a.,22000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,39.05
