player_name_fbref,player_id_tm,club_actual,current_club_name_tm,league,season,position_group,age,minutes_played,market_value_eur,log_market_value_eur,model,feature_set,predicted_log_market_value_ml,predicted_market_value_ml_eur,residual_log_observed_minus_predicted,inefficiency_score_ml,market_value_growth_prev,delta_log_market_value_prev,growth_index,breakout_indicator,career_year,matching_confidence,matching_method,goals_per90,assists_per90,predicted_market_value_eur,residual_observed_minus_predicted_log,inefficiency_score_log,market_value_gap_eur,market_value_gap_pct,inefficiency_score_log_winsorized,market_value_gap_pct_winsorized,inefficiency_score_z,market_value_gap_pct_z,is_undervalued,is_overvalued,inefficiency_rank,market_value_growth_prev_growth_component_z,delta_log_market_value_prev_growth_component_z,growth_index_growth_component_z,breakout_indicator_growth_component_z,career_year_growth_component_z,growth_score_raw,growth_score_z,growth_score,growth_rank,high_growth_flag,matching_confidence_component,minutes_reliability_component,feature_completeness_component,temporal_stability_component,confidence_score_raw,confidence_score,confidence_score_z,confidence_rank,low_confidence_flag,opportunity_score_raw,opportunity_score,opportunity_rank,opportunity_tier,is_scouting_target,is_high_priority_or_target,position,club_anterior,expected_roi,expected_upside,player_level_tier,player_level_rank,portfolio_value_score,is_eligible_portfolio,portfolio_cost,upside_score_norm,dss_entity,dss_universe,dss_model,dss_feature_set,name_key,contract_expiration_date,current_club_name,market_value_in_eur,contract_months_remaining,contract_years_remaining,contract_expiring_12m,contract_critical_zone,free_agent_horizon,negotiation_leverage_score,contract_opportunity_score,contract_status,recruitment_contract_score
Christantus Uche,1124005.0,Getafe,Crystal Palace Football Club,LaLiga,2024-2025,MID,21.399041752224505,2486,5000000.0,15.424948470398377,XGBoost,B_v13B_advanced,16.360801696777344,12746938.0,-0.9358532263789688,0.9358532263789688,11.5,2.5257263443113604,2.943530273729319,1,1,0.85,exact_age_validated,0.14,0.22,12746938.67448712,-0.935853226378967,0.935853226378967,7746938.674487121,1.5493877348974243,0.935853226378967,1.5493877348974243,1.099649096418522,0.9523907725114636,True,False,862,6.6290096924450985,4.102819913318239,4.305620378843948,1.5997564550586283,0.889997660433723,4.500429504967537,4.994883102669253,100.0,12,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2408,False,1.9569510530243968,95.64731807201674,12,target_scouting,True,True,MID,,2.0426898421241058,10213449.210620528,Rotation Profile,2,81.1848894380334,True,5000000.0,84.29604197993481,player,global_prospect_universe,XGBoost,B_v13B_advanced,christantus uche,2026-06-30,Crystal Palace Football Club,15000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,89.75
Mario Martín,948273.0,Valladolid,Getafe Club de Fútbol S. A. D. Team Dubai,LaLiga,2024-2025,MID,20.602327173169066,1748,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,16.239089965820312,11286185.0,-3.1167265884159843,3.1167265884159843,0.6666666666666666,0.5108242904362132,0.4347828594471473,1,1,0.85,exact_age_validated,0.0,0.05,11286184.959971976,-3.1167265884159843,3.1167265884159843,10786184.959971976,5.0,2.200072275181844,5.0,2.426072388659802,3.671193149444084,True,False,62,-0.0105045590727483,0.3407320564113786,0.6118180648715196,1.5997564550586283,0.889997660433723,0.456498293947018,0.5066528899778312,27.245378786946315,1268,False,0.85,0.9711111111111111,1.0,0.3333333333333333,0.8707222222222224,87.07222222222224,0.5772595207385565,2283,False,1.5764549404050603,86.14105064831918,54,target_scouting,True,True,MID,,23.99155645515396,11995778.22757698,Key Player Profile,4,93.09345009374296,True,500000.0,85.21007689790132,player,global_prospect_universe,XGBoost,B_v13B_advanced,mario martin,2026-06-30,Getafe Club de Fútbol S. A. D. Team Dubai,300000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,83.1
Saba Goglichidze,906160.0,Empoli,Watford FC,Serie A,2024-2025,DEF,20.314852840520192,2539,5000000.0,15.424948470398377,XGBoost,B_v13B_advanced,15.67213249206543,6402073.5,-0.2471840216670546,0.2471840216670546,15.666666666666666,2.813407583432239,3.618249603284403,1,1,0.85,exact_age_validated,0.0,0.04,6402073.575750192,-0.2471840216670529,0.2471840216670529,1402073.5757501917,0.2804147151500383,0.2471840216670529,0.2804147151500383,0.377094824954136,-0.0474569638583014,True,False,2291,6.6290096924450985,4.102819913318239,4.305620378843948,1.5997564550586283,0.889997660433723,4.500429504967537,4.994883102669253,100.0,23,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2410,False,1.5595462037189844,85.71860487974563,62,target_scouting,True,True,DEF,,1.227319343793794,6136596.718968971,Rotation Profile,2,76.7862225466915,True,5000000.0,82.20530256127714,player,global_prospect_universe,XGBoost,B_v13B_advanced,saba goglichidze,2026-06-30,Watford FC,4500000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,82.8
Luca Marianucci,814446.0,Empoli,Torino Calcio,Serie A,2024-2025,DEF,20.40520191649555,1069,800000.0,13.592367006650065,XGBoost,B_v13B_advanced,15.343269348144531,4607838.0,-1.7509023414944664,1.7509023414944664,3.571428571428572,1.519821289474244,1.3865985426124032,1,1,0.85,exact_age_validated,0.0,0.0,4607838.108996854,-1.7509023414944664,1.7509023414944664,3807838.108996854,4.759797636246068,1.7509023414944664,4.759797636246068,1.9548016363470784,3.481933184155109,True,False,141,1.855902672920748,2.2636216412019268,2.2934679701740706,1.5997564550586283,0.889997660433723,2.013699815307869,2.2349411695544434,55.26108947219535,291,True,0.85,0.5938888888888889,1.0,0.1666666666666666,0.7220277777777779,72.2027777777778,-0.7869196197449394,4518,False,1.4764922684305162,83.64359571865985,77,target_scouting,True,True,DEF,,7.228620136030604,5782896.108824483,Key Player Profile,4,91.19782594299592,True,800000.0,82.02391365658984,player,global_prospect_universe,XGBoost,B_v13B_advanced,luca marianucci,2026-06-30,Torino Calcio,175000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,81.35
Rabby Nzingoula,1068110.0,Montpellier,Montpellier HSC,Ligue 1,2024-2025,MID,18.86652977412731,1689,1500000.0,14.22097566607244,XGBoost,B_v13B_advanced,15.22694969177246,4101854.0,-1.0059740257000218,1.0059740257000218,4.0,1.609435245772767,1.4917434094812114,1,1,1.0,exact_age_club_validated,0.05,0.0,4101854.275584607,-1.00597402570002,1.00597402570002,2601854.275584607,1.7345695170564046,1.00597402570002,1.7345695170564046,1.173220097882307,1.0982989855524576,True,False,731,2.13127423173946,2.434402865905857,2.479235927710742,1.5997564550586283,0.889997660433723,2.1939876397488294,2.4350368730696683,58.50465908109023,222,True,1.0,0.9383333333333334,1.0,0.1666666666666666,0.8950833333333335,89.50833333333334,0.8007575790617439,1824,False,1.414181787915035,82.08683844457998,102,target_scouting,True,True,MID,,2.98971299169918,4484569.48754877,First Team Ready,3,84.67764374817901,True,1500000.0,81.35809053668243,player,global_prospect_universe,XGBoost,B_v13B_advanced,rabby nzingoula,2026-06-30,Montpellier HSC,2000000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,80.26
Carlos Romero,709372.0,Espanyol,Reial Club Deportiu Espanyol de Barcelona S.A.D.,LaLiga,2024-2025,DEF,22.951403148528406,2554,2500000.0,14.73180128983843,XGBoost,B_v13B_advanced,16.425495147705078,13598841.0,-1.6936938578666485,1.6936938578666485,0.6666666666666666,0.510825357099467,0.4347834946618245,1,2,0.85,exact_age_validated,0.07,0.04,13598841.288547195,-1.6936938578666485,1.6936938578666485,11098841.288547195,4.439536515418879,1.6936938578666485,4.439536515418879,1.8947782841680416,3.2295934167028,True,False,165,-0.0105045590727483,0.3407340891980598,0.6118191871567694,1.5997564550586283,-0.0011483840779789,0.4119418821287496,0.4572011502581026,26.44376157456231,1331,False,0.85,1.0,1.0,0.5,0.8975000000000001,89.75000000000001,0.8229289941975683,1751,False,1.321014142696462,79.75914961594273,127,high_priority,False,True,DEF,,5.802495937780051,14506239.844450127,Key Player Profile,4,91.23442235425598,True,2500000.0,86.49752133504295,player,global_prospect_universe,XGBoost,B_v13B_advanced,carlos romero,2026-06-30,Reial Club Deportiu Espanyol de Barcelona S.A.D.,1500000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,78.63
Javi Rodríguez,1076815.0,Celta Vigo,Real Club Celta de Vigo S. A. D.,LaLiga,2024-2025,DEF,21.29226557152635,2514,3000000.0,14.914122846632385,XGBoost,B_v13B_advanced,16.0855655670166,9679933.0,-1.171442720384217,1.171442720384217,11.0,2.48490298312928,2.8588112452295302,1,1,0.85,exact_age_validated,0.11,0.07,9679933.283383902,-1.171442720384217,1.171442720384217,6679933.283383902,2.2266444277946342,1.171442720384217,2.2266444277946342,1.346830463090546,1.4860140732411742,True,False,536,6.6290096924450985,4.102819913318239,4.305620378843948,1.5997564550586283,0.889997660433723,4.500429504967537,4.994883102669253,100.0,3,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2407,False,2.0929008046940103,99.04386971261016,3,target_scouting,True,True,DEF,,2.4478858025645875,7343657.407693762,First Team Ready,3,82.15384222082675,True,3000000.0,82.82432161281184,player,global_prospect_universe,XGBoost,B_v13B_advanced,javi rodriguez,2028-06-30,Real Club Celta de Vigo S. A. D.,15000000.0,36.0,3.0,0,0,0,40.0,28.0,Protected Asset,77.73
Yassin Belkhdim,807688.0,Angers,Angers Sporting Club de l'Ouest,Ligue 1,2024-2025,MID,22.64476386036961,1523,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,15.459339141845703,5174944.5,-2.336975764441375,2.336975764441375,4.0,1.6094299124820992,1.4917402334230712,1,1,0.85,exact_age_validated,0.06,0.06,5174944.341777041,-2.336975764441375,2.336975764441375,4674944.341777041,5.0,2.200072275181844,5.0,2.426072388659802,3.671193149444084,True,False,61,2.13127423173946,2.43439270202124,2.4792303163114284,1.5997564550586283,0.889997660433723,2.193983187733616,2.4350319319200424,58.504578984604,225,True,0.85,0.8461111111111111,1.0,0.1666666666666666,0.8103055555555556,81.03055555555557,0.0229741423429639,3293,False,1.9476926252114943,95.41600666621405,17,target_scouting,True,True,MID,,12.139411623011132,6069705.811505566,Key Player Profile,4,93.15065523909811,True,500000.0,82.17099877980112,player,global_prospect_universe,XGBoost,B_v13B_advanced,yassin belkhdim,2028-06-30,Angers Sporting Club de l'Ouest,100000.0,36.0,3.0,0,0,0,40.0,28.0,Protected Asset,75.19
Jamie Lawrence,522248.0,WSG Tirol,Wattener Sportgemeinschaft Swarovski Tirol,Austrian Bundesliga,2024-2025,DEF,22.102669404517453,2510,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,14.826376914978027,2747980.75,-1.704013537573699,1.704013537573699,0.0,0.0,-0.283298444277076,0,1,0.85,exact_age_validated,0.11,0.04,2747980.716399891,-1.704013537573699,1.704013537573699,2247980.716399891,4.495961432799782,1.704013537573699,4.495961432799782,1.905605730206656,3.2740516715594543,True,False,161,-0.43886031723519,-0.6327680716110969,-0.6568743697725876,-0.6249944573526541,0.889997660433723,-0.5037066718106122,-0.559047962189276,9.970270748459184,3806,False,0.85,1.0,1.0,0.6666666666666666,0.9141666666666668,91.41666666666669,0.97583530547911,1351,False,1.1034882221621638,74.3245091462941,245,high_priority,False,True,DEF,,5.894861258605598,2947430.629302799,Key Player Profile,4,89.56182511915425,True,500000.0,80.56979691814549,player,global_prospect_universe,XGBoost,B_v13B_advanced,jamie lawrence,2026-06-30,Wattener Sportgemeinschaft Swarovski Tirol,800000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,74.83
Hugo Rincón,834487.0,CD Mirandés,Girona Fútbol Club S. A. D.,Spanish Segunda División,2024-2025,DEF,21.71389459274469,3287,500000.0,13.122363377404328,XGBoost,B_v13B_advanced,14.084515571594238,1308661.75,-0.96215219418991,0.96215219418991,1.0,0.6931451805659457,0.5836298572389736,1,1,0.85,exact_age_validated,0.05,0.11,1308661.702175542,-0.96215219418991,0.96215219418991,808661.702175542,1.617323404351084,0.96215219418991,1.617323404351084,1.1272420705153534,1.0059185656677971,True,False,813,0.2036733200084725,0.688188927992213,0.8747981188550752,1.5997564550586283,0.889997660433723,0.6907337326415235,0.7666233291303816,31.459523322948844,1022,True,0.85,1.0,1.0,0.1666666666666666,0.8641666666666667,86.41666666666667,0.5171163716344821,2702,False,0.9150622453929363,69.6168980424411,432,high_priority,False,True,DEF,,3.1581701453526283,1579085.072676314,First Team Ready,3,83.65044670238693,True,500000.0,79.86806586473053,player,global_prospect_universe,XGBoost,B_v13B_advanced,hugo rincon,2026-06-30,Girona Fútbol Club S. A. D.,250000.0,12.0,1.0,1,0,1,80.0,76.0,Negotiable Target,71.53
