slug,player_name,status,source,query,qid,source_ref,url,error
kylian_mbappe,Kylian Mbappe,downloaded,wikidata,Kylian Mbappe,Q21621995,2019-07-17 SG Dynamo Dresden vs. Paris Saint-Germain by Sandro Halank–129 (cropped).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/2019-07-17%20SG%20Dynamo%20Dresden%20vs.%20Paris%20Saint-Germain%20by%20Sandro%20Halank%E2%80%93129%20%28cropped%29.jpg&width=512,
lamine_yamal,Lamine Yamal,downloaded,wikidata,Lamine Yamal,Q113704154,Lamine Yamal in 2025 (cropped2).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Lamine%20Yamal%20in%202025%20%28cropped2%29.jpg&width=512,
erling_haaland,Erling Haaland,downloaded,wikidata,Erling Haaland,Q28967995,Erling Haaland Morocco v Norway 7 June 2026-51.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Erling%20Haaland%20Morocco%20v%20Norway%207%20June%202026-51.jpg&width=512,
pedri,Pedri,downloaded,wikidata,Pedri,Q66606355,Pedri.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Pedri.jpg&width=512,
vinicius_junior,Vinicius Junior,downloaded,wikidata,Vinicius Junior,Q28973866,Vinícius Júnior Brazil V Morocco 13 June 2026-207 (cropped).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Vin%C3%ADcius%20J%C3%BAnior%20Brazil%20V%20Morocco%2013%20June%202026-207%20%28cropped%29.jpg&width=512,
michael_olise,Michael Olise,downloaded,wikidata,Michael Olise,Q62050484,FC RB Salzburg gegen FC Bayern München (2026-01-06 Testspiel) 10.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/FC%20RB%20Salzburg%20gegen%20FC%20Bayern%20M%C3%BCnchen%20%282026-01-06%20Testspiel%29%2010.jpg&width=512,
jude_bellingham,Jude Bellingham,downloaded,wikidata,Jude Bellingham,Q66241169,25th Laureus World Sports Awards - Red Carpet - Jude Bellingham - 240422 190551-2 (cropped).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/25th%20Laureus%20World%20Sports%20Awards%20-%20Red%20Carpet%20-%20Jude%20Bellingham%20-%20240422%20190551-2%20%28cropped%29.jpg&width=512,
federico_valverde,Federico Valverde,downloaded,wikidata,Federico Valverde,Q19509544,Federico Valverde 2021 (cropped).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Federico%20Valverde%202021%20%28cropped%29.jpg&width=512,
bukayo_saka,Bukayo Saka,downloaded,wikidata,Bukayo Saka,Q59306386,RC Lens - Arsenal FC (03-10-2023) 16 (cropped).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/RC%20Lens%20-%20Arsenal%20FC%20%2803-10-2023%29%2016%20%28cropped%29.jpg&width=512,
declan_rice,Declan Rice,downloaded,wikidata,Declan Rice,Q30007142,Declan Rice - 53248276328 (cropped).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Declan%20Rice%20-%2053248276328%20%28cropped%29.jpg&width=512,
jamal_musiala,Jamal Musiala,downloaded,wikidata,Jamal Musiala,Q96072055,Jamal Musiala 2022 (cropped).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Jamal%20Musiala%202022%20%28cropped%29.jpg&width=512,
joao_neves,Joao Neves,downloaded,wikidata,Joao Neves,Q113551733,João Neves USMNT v Portugal Mar 31 2026-18 (cropped).jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Jo%C3%A3o%20Neves%20USMNT%20v%20Portugal%20Mar%2031%202026-18%20%28cropped%29.jpg&width=512,
