player_name,slug,image_file,status,wikidata_qid,source_image,local_path,error
Yassin Belkhdim,yassin_belkhdim,yassin_belkhdim.webp,downloaded,Q125728886,Belkhdim asse sco 2425.png,app\assets\players\yassin_belkhdim.webp,
Lasse Rosenboom,lasse_rosenboom,lasse_rosenboom.webp,downloaded,Q121222105,2026-03-04 Lasse Rosenboom.jpg,app\assets\players\lasse_rosenboom.webp,
Mario Martín,mario_martin,mario_martin.webp,not_found,,,,
Andrés García,andres_garcia,andres_garcia.webp,downloaded,Q524187,Andres Garcia.jpg,app\assets\players\andres_garcia.webp,
Jesús Rodríguez,jesus_rodriguez,jesus_rodriguez.webp,downloaded,Q5930600,Suarez lastra- jesus rodriguez somos 23.03.1984.jpg,app\assets\players\jesus_rodriguez.webp,
Adrian Blake,adrian_blake,adrian_blake.webp,not_found,,,,
Bilal Nadir,bilal_nadir,bilal_nadir.webp,downloaded,Q122809324,Nadir asse om 2425.png,app\assets\players\bilal_nadir.webp,
Yan Diomande,yan_diomande,yan_diomande.webp,not_found,,,,
Emilio Kehrer,emilio_kehrer,emilio_kehrer.webp,not_found,,,,
Mikel Jauregizar,mikel_jauregizar,mikel_jauregizar.webp,downloaded,Q123698330,Mikel Jauregizar. Athletic - Racing. Foto Maider Goikoetxea (53909642167).jpg,app\assets\players\mikel_jauregizar.webp,
Jamie Lawrence,jamie_lawrence,jamie_lawrence.webp,not_found,,,,
Kévin Danois,kevin_danois,kevin_danois.webp,downloaded,Q117485466,Kevin Danois.jpg,app\assets\players\kevin_danois.webp,
Dominik Javorček,dominik_javorcek,dominik_javorcek.webp,downloaded,Q100773311,2025-02-19 Dominik Javorcek 1.jpg,app\assets\players\dominik_javorcek.webp,
Junior Kadile,junior_kadile,junior_kadile.webp,not_found,,,,
Hugo Rincón,hugo_rincon,hugo_rincon.webp,not_found,,,,
Luca Marianucci,luca_marianucci,luca_marianucci.webp,not_found,,,,
Carlos Romero,carlos_romero,carlos_romero.webp,not_found,,,,
James Abankwah,james_abankwah,james_abankwah.webp,downloaded,Q110714297,James Abankwah 09082025 (5).jpg,app\assets\players\james_abankwah.webp,
Óscar Aranda,oscar_aranda,oscar_aranda.webp,not_found,,,,
Abu Kamara,abu_kamara,abu_kamara.webp,downloaded,Q27662862,Banc de touche Sierra Leonais.jpg,app\assets\players\abu_kamara.webp,
Myles Peart-Harris,myles_peart_harris,myles_peart_harris.webp,downloaded,Q108653513,"Myles Peart-Harris, Brentford F.C. footballer, July 2021.jpg",app\assets\players\myles_peart_harris.webp,
Marwan Al-Sahafi,marwan_al_sahafi,marwan_al_sahafi.webp,not_found,,,,
Léandre Kuavita,leandre_kuavita,leandre_kuavita.webp,not_found,,,,
Antoine Hainaut,antoine_hainaut,antoine_hainaut.webp,not_found,,,,
Pau Navarro,pau_navarro,pau_navarro.webp,not_found,,,,
Alexander Briedl,alexander_briedl,alexander_briedl.webp,not_found,,,,
Alessandro Bianco,alessandro_bianco,alessandro_bianco.webp,downloaded,Q3609849,Bianconcini Alessandro.jpg,app\assets\players\alessandro_bianco.webp,
Johan Manzambi,johan_manzambi,johan_manzambi.webp,not_found,,,,
Christantus Uche,christantus_uche,christantus_uche.webp,not_found,,,,
Javi Rodríguez,javi_rodriguez,javi_rodriguez.webp,downloaded,Q123352800,"Gran Peña - Rápido de Bouzas, no Estadio Municipal de Barreiro 91.jpg",app\assets\players\javi_rodriguez.webp,
Saba Goglichidze,saba_goglichidze,saba_goglichidze.webp,downloaded,Q113414679,Saba Goglichidze 03042026 (2).jpg,app\assets\players\saba_goglichidze.webp,
Rabby Nzingoula,rabby_nzingoula,rabby_nzingoula.webp,downloaded,Q124902174,Rabby Nzingoula 2024.jpg,app\assets\players\rabby_nzingoula.webp,
Mark O'Mahony,mark_o_mahony,mark_o_mahony.webp,not_found,,,,
Gerard Martín,gerard_martin,gerard_martin.webp,downloaded,Q121943745,2025 04 26 Final de la Copa del Rey - 54482387776 - Gerard Martín.jpg,app\assets\players\gerard_martin.webp,
Erick Nunes,erick_nunes,erick_nunes.webp,not_found,,,,
