club,slug,status,path,source
1.FC Heidenheim 1846,1-fc-heidenheim-1846,not_found,,
1.FC Köln,1-fc-koln,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\1-fc-koln.svg,https://commons.wikimedia.org/wiki/Special:FilePath/1.%20FC%20Koeln%20Logo%202014%E2%80%93.svg
1.FC Nuremberg,1-fc-nuremberg,not_found,,
1.FC Union Berlin,1-fc-union-berlin,not_found,,
1.FSV Mainz 05,1-fsv-mainz-05,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\1-fsv-mainz-05.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Mainz%2005.svg
AC Milan,ac-milan,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\ac-milan.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20of%20AC%20Milan.svg
ACF Fiorentina,acf-fiorentina,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\acf-fiorentina.svg,https://commons.wikimedia.org/wiki/Special:FilePath/ACF%20Fiorentina%20-%20logo%20%28Italy%2C%202022%29.svg
AFC Bournemouth,afc-bournemouth,not_found,,
AJ Auxerre,aj-auxerre,not_found,,
AS Cittadella,as-cittadella,not_found,,
AS Monaco,as-monaco,not_found,,
AS Roma,as-roma,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\as-roma.svg,https://commons.wikimedia.org/wiki/Special:FilePath/AS%20ROMA%20Text%20Logo%202020%20-%202021%20.svg
AS Saint-Étienne,as-saint-etienne,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\as-saint-etienne.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20AS%20Saint-%C3%89tienne.svg
AZ Alkmaar,az-alkmaar,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\az-alkmaar.svg,https://commons.wikimedia.org/wiki/Special:FilePath/AZ%20Alkmaar.svg
Ajax Amsterdam,ajax-amsterdam,not_found,,
Almere City FC,almere-city-fc,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\almere-city-fc.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Almere%20City%20FC%20logo.jpg
Angers SCO,angers-sco,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\angers-sco.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Angers%20Sporting%20Club%20de%20l%27Ouest%20logo.svg
Arsenal FC,arsenal-fc,not_found,,
Aston Villa,aston-villa,not_found,,
Atalanta BC,atalanta-bc,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\atalanta-bc.png,https://commons.wikimedia.org/wiki/Special:FilePath/Atalanta%20BC.png
Athletic Bilbao,athletic-bilbao,not_found,,
Atlético de Madrid,atletico-de-madrid,not_found,,
Bayer 04 Leverkusen,bayer-04-leverkusen,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\bayer-04-leverkusen.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20TSV%20Bayer%2004%20Leverkusen.svg
Bayern Munich,bayern-munich,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\bayern-munich.svg,https://commons.wikimedia.org/wiki/Special:FilePath/FC%20Bayern%20M%C3%BCnchen%20logo%20%282024%29.svg
Beerschot VA,beerschot-va,not_found,,
Besiktas JK,besiktas-jk,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\besiktas-jk.svg,https://commons.wikimedia.org/wiki/Special:FilePath/BesiktasJK-Logo.svg
Bologna FC 1909,bologna-fc-1909,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\bologna-fc-1909.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Bologna%20F.C.%201909%20logo.svg
Borussia Dortmund,borussia-dortmund,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\borussia-dortmund.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Borussia%20Dortmund%20logo.svg
Borussia Mönchengladbach,borussia-monchengladbach,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\borussia-monchengladbach.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Borussia%20M%C3%B6nchengladbach%20logo.svg
Brentford FC,brentford-fc,not_found,,
Brighton & Hove Albion,brighton-hove-albion,not_found,,
Burnley FC,burnley-fc,not_found,,
CA Osasuna,ca-osasuna,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\ca-osasuna.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/OSASUNA.jpg
CD Lugo,cd-lugo,not_found,,
CD Nacional,cd-nacional,not_found,,
Cagliari Calcio,cagliari-calcio,not_found,,
Celta de Vigo,celta-de-vigo,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\celta-de-vigo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Escudo%20RC%20Celta%20de%20Vigo.svg
Centro Sportivo Alagoano (AL),centro-sportivo-alagoano-al,not_found,,
Cercle Brugge,cercle-brugge,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\cercle-brugge.png,https://commons.wikimedia.org/wiki/Special:FilePath/Logo%20Cercle%20Brugge%202022.png
Chelsea FC,chelsea-fc,not_found,,
Club Brugge KV,club-brugge-kv,not_found,,
Clube Atlético Mineiro,clube-atletico-mineiro,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\clube-atletico-mineiro.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Clube%20Atl%C3%A9tico%20Mineiro%20logo.svg
Como 1907,como-1907,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\como-1907.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Calcio%20Como%20-%20logo%20%28Italy%2C%202019-%29.svg
Criciúma EC,criciuma-ec,downloaded,C:\Users\manue\Projects\market-value-football-tfm\app\assets\clubs\criciuma-ec.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Crici%C3%BAma%20Esporte%20Clube%20logo%20%28until%202025%29.svg
Crystal Palace,crystal-palace,not_found,,
